CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
280692	1885.09802	19043010943	0.78078	0.05115	1885.06458	0.03345	4070	1	0.76367	0.07091	1	0.78379	0.02131	1	0.77373	0.04611	1	0.33856	0.53926	21.22425	1.04154	1	0.60266	0.55544	22.81297	1.04154	1	-0.04100	-0.01000	0.65331	0.00424	1	0.02355	-0.01255	0.61958	0.00447	1	0.52240	0.53426	0	
280693	1885.10449	19043074668	0.78198	0.05024	1885.06458	0.03992	4070	1	0.78152	0.06159	1	0.79684	0.02797	1	0.78918	0.04478	1	0.33873	0.53935	21.37488	1.05634	1	0.60290	0.55559	22.88973	1.05634	1	-0.04100	-0.01000	0.65331	0.00425	1	0.02355	-0.01255	0.61958	0.00450	1	0.52240	0.53426	0	
280694	1885.11145	19043144686	0.78315	0.04771	1885.06458	0.04688	4070	1	0.78268	0.04665	1	0.79995	0.01331	1	0.79131	0.02998	1	0.33875	0.53922	21.31045	1.07113	1	0.60304	0.55563	22.46001	1.07113	1	-0.04130	-0.01002	0.65805	0.00432	1	0.02349	-0.01256	0.61556	0.00455	1	0.52240	0.53426	0	
280695	1885.11768	19043206900	0.78275	0.04903	1885.06458	0.05310	4070	1	0.76951	0.07107	1	0.78965	0.04812	1	0.77958	0.05960	1	0.33859	0.53945	21.10995	1.07113	1	0.60267	0.55592	23.18586	1.07113	1	-0.04130	-0.01002	0.65805	0.00426	1	0.02349	-0.01256	0.61556	0.00448	1	0.52240	0.53426	0	
280696	1885.12500	19043279866	0.77780	0.04814	1885.06458	0.06042	4070	1	0.74009	0.04237	1	0.72634	0.03784	1	0.73321	0.04011	1	0.33751	0.53976	20.76056	1.07113	1	0.60160	0.55611	22.63087	1.07113	1	-0.04130	-0.01002	0.65805	0.00420	1	0.02349	-0.01256	0.61556	0.00455	1	0.52240	0.53426	0	
280697	1885.13159	19043345717	0.77372	0.04780	1885.06458	0.06702	4070	1	0.73973	0.05029	1	0.72623	0.03857	1	0.73298	0.04443	1	0.33723	0.54003	20.84551	1.06332	1	0.60129	0.55638	22.96716	1.07039	1	-0.04039	-0.00993	0.63680	0.00427	1	0.02425	-0.01339	0.64688	0.00461	1	0.52240	0.53426	0	
280698	1885.13818	19043412619	0.75939	0.05554	1885.06458	0.07361	4070	1	0.59572	0.14622	1	0.60767	0.13505	1	0.60169	0.14063	1	0.33369	0.54158	20.19738	1.06258	1	0.59740	0.55756	22.18852	1.06965	1	-0.04039	-0.00993	0.63680	0.00418	1	0.02425	-0.01339	0.64688	0.00458	1	0.52240	0.53426	0	
280699	1885.14465	19043476695	0.74250	0.06810	1885.06458	0.08008	4070	1	0.52569	0.19073	1	0.55409	0.24690	1	0.53989	0.21881	1	0.33186	0.54289	20.08995	1.06184	1	0.59521	0.55849	21.67633	1.06891	1	-0.04039	-0.00993	0.63680	0.00420	1	0.02425	-0.01339	0.64688	0.00446	1	0.52240	0.53426	0	
280700	1885.15125	19043542726	0.72804	0.07868	1885.06458	0.08667	4070	1	0.52577	0.19139	1	0.55418	0.24107	1	0.53998	0.21623	1	0.33178	0.54279	20.18977	1.06110	1	0.59525	0.55871	21.40215	1.07606	1	-0.04157	-0.01047	0.64614	0.00407	1	0.02372	-0.01385	0.65500	0.00457	1	0.52240	0.53426	0	
280701	1885.15845	19043615249	0.70811	0.09330	1885.06458	0.09387	4070	1	0.43963	0.30416	1	0.41870	0.29189	1	0.42916	0.29802	1	0.32944	0.54463	20.43326	1.07606	1	0.59270	0.56055	22.62214	1.08396	1	-0.04157	-0.01047	0.64614	0.00420	1	0.02372	-0.01385	0.65500	0.00446	1	0.52240	0.53426	0	
